Experiment,Well,Target,lg10_Copies,Outlier,WellPosition,Copies,Reporter,Sample,Task,Comments,CT,Reaction,col,row,Material,ng RNA,IFI44L Copies,EMRI Copies,WellName,MasterMix,Cycle,Fluorescence,Corr_Fluorescence,SignalDifference
JG073N,1,FAM,-inf,False,A1,0.0,FAM,JG073N_001,UNKNOWN,,13.207853,0,0,0,RNA,100,8.035439548834928,6.049177958632402,A1,TaqMan Fast Virus,40,0.44060765227149273,0.7859682440757751,-0.23927209784508113
JG073N,2,FAM,-inf,False,A2,0.0,FAM,JG073N_002,UNKNOWN,,13.239576,2,1,0,RNA,100,8.035439548834928,5.663911998866674,A2,TaqMan Fast Virus,40,0.4046128768247446,0.7284495830535889,-0.2855890680402596
JG073N,3,FAM,-inf,False,A3,0.0,FAM,JG073N_003,UNKNOWN,,14.053524,4,2,0,RNA,100,8.035439548834928,5.278646039100947,A3,TaqMan Fast Virus,40,0.3536470756623208,0.6212586164474487,-0.39878360028449344
JG073N,4,FAM,-inf,False,A4,0.0,FAM,JG073N_004,UNKNOWN,,14.407451,6,3,0,RNA,100,8.035439548834928,4.89338007933522,A4,TaqMan Fast Virus,40,0.28334431990961045,0.501017689704895,-0.5291504167095822
JG073N,5,FAM,-inf,False,A5,0.0,FAM,JG073N_005,UNKNOWN,,16.077196,8,4,0,RNA,100,8.035439548834928,4.508114119569492,A5,TaqMan Fast Virus,40,0.20963378362175822,0.29165342450141907,-0.6917674318617819
JG073N,6,FAM,-inf,False,A6,0.0,FAM,JG073N_006,UNKNOWN,,16.034868,10,5,0,RNA,100,8.035439548834928,4.122848159803764,A6,TaqMan Fast Virus,40,0.17618989509509184,0.23273058235645294,-0.7292029147464505
JG073N,7,FAM,-inf,False,A7,0.0,FAM,JG073N_007,UNKNOWN,,63.24934,12,6,0,RNA,100,8.035439548834928,3.7375822000380374,A7,TaqMan Fast Virus,40,0.11590732066668445,0.013784760609269142,-0.8540982102309577
JG073N,8,FAM,-inf,False,A8,0.0,FAM,JG073N_008,UNKNOWN,,60.312195,14,7,0,RNA,100,8.035439548834928,,A8,TaqMan Fast Virus,40,0.06770704558060525,-0.00010171390022151172,-0.9322929544193947
JG073N,9,FAM,-inf,False,A9,0.0,FAM,JG073N_009,UNKNOWN,,18.24689,16,8,0,RNA,10,6.926774234491026,4.904823622694598,A9,TaqMan Fast Virus,40,0.15921829299657772,0.30502423644065857,-0.6769227357221975
JG073N,10,FAM,-inf,False,A10,0.0,FAM,JG073N_010,UNKNOWN,,19.149607,18,9,0,RNA,10,6.926774234491026,4.51955766292887,A10,TaqMan Fast Virus,40,0.1192183448167903,0.21458062529563904,-0.7479313566502107
JG073N,11,FAM,-inf,False,A11,0.0,FAM,JG073N_011,UNKNOWN,,70.29238,20,10,0,RNA,10,6.926774234491026,4.134291703163142,A11,TaqMan Fast Virus,40,0.0540284640092127,0.009245793335139751,-0.8591532593381302
JG073N,12,FAM,-inf,False,A12,0.0,FAM,JG073N_012,UNKNOWN,,73.42533,22,11,0,RNA,10,6.926774234491026,3.7490257433974143,A12,TaqMan Fast Virus,40,0.043256154593129606,0.008511675521731377,-0.8810051605239211
JG073N,13,FAM,-inf,False,A13,0.0,FAM,JG073N_013,UNKNOWN,,65.40773,24,12,0,RNA,10,6.926774234491026,3.3637597836316866,A13,TaqMan Fast Virus,40,0.024435008215505465,-0.002469372469931841,-0.9125438323141609
JG073N,14,FAM,-inf,False,A14,0.0,FAM,JG073N_014,UNKNOWN,,73.53167,26,13,0,RNA,10,6.926774234491026,2.9784938238659593,A14,TaqMan Fast Virus,40,0.025691911167237538,0.0001288331113755703,-0.9148809505507158
JG073N,15,FAM,-inf,False,A15,0.0,FAM,JG073N_015,UNKNOWN,,67.78644,28,14,0,RNA,10,6.926774234491026,2.593227864100233,A15,TaqMan Fast Virus,40,0.014470519248035909,-0.009484529495239258,-0.9370474936855004
JG073N,16,FAM,-inf,False,A16,0.0,FAM,JG073N_016,UNKNOWN,,inf,30,15,0,RNA,10,6.926774234491026,,A16,TaqMan Fast Virus,40,0.01591564618744663,-0.004364887718111277,-0.9268480746949744
JG073N,17,FAM,-inf,False,A17,0.0,FAM,JG073N_017,UNKNOWN,,21.21184,32,16,0,RNA,1,5.8181089201471226,3.760469286756793,A17,TaqMan Fast Virus,40,0.2498101381527894,0.4415537118911743,-0.32270738019315404
JG073N,18,FAM,-inf,False,A18,0.0,FAM,JG073N_018,UNKNOWN,,22.71887,34,17,0,RNA,1,5.8181089201471226,3.3752033269910653,A18,TaqMan Fast Virus,40,0.2028278721156239,0.35717764496803284,-0.4099306657456786
JG073N,19,FAM,-inf,False,A19,0.0,FAM,JG073N_019,UNKNOWN,,23.796013,36,18,0,RNA,1,5.8181089201471226,2.989937367225337,A19,TaqMan Fast Virus,40,0.1598090269952121,0.27522265911102295,-0.4973563967846469
JG073N,20,FAM,-inf,False,A20,0.0,FAM,JG073N_020,UNKNOWN,,26.695591,38,19,0,RNA,1,5.8181089201471226,2.6046714074596102,A20,TaqMan Fast Virus,40,0.09277653932921827,0.1436052769422531,-0.6243229576638989
JG073N,21,FAM,-inf,False,A21,0.0,FAM,JG073N_021,UNKNOWN,,76.047356,40,20,0,RNA,1,5.8181089201471226,2.219405447693882,A21,TaqMan Fast Virus,40,0.0614102820347714,0.02344762720167637,-0.6842988403902198
JG073N,22,FAM,-inf,False,A22,0.0,FAM,JG073N_022,UNKNOWN,,78.95837,42,21,0,RNA,1,5.8181089201471226,1.8341394879281543,A22,TaqMan Fast Virus,40,0.04248639654233861,0.018277306109666824,-0.6887223650759942
JG073N,23,FAM,-inf,False,A23,0.0,FAM,JG073N_023,UNKNOWN,,inf,44,22,0,RNA,1,5.8181089201471226,1.448873528162427,A23,TaqMan Fast Virus,40,0.025878981313415768,0.008940826170146465,-0.7461965960957837
JG073N,24,FAM,-inf,False,A24,0.0,FAM,JG073N_024,UNKNOWN,,inf,46,23,0,RNA,1,5.8181089201471226,,A24,TaqMan Fast Virus,40,0.005094509976767524,0.002196270739659667,-0.7725909710860526
JG073N,25,FAM,-inf,False,B1,0.0,FAM,JG073N_025,UNKNOWN,,12.004047,48,0,1,RNA,100,7.296329339272326,6.049177958632402,B1,TaqMan Fast Virus,40,0.5559299917222549,0.9781761169433594,-0.06385456844210768
JG073N,26,FAM,-inf,False,B2,0.0,FAM,JG073N_026,UNKNOWN,,12.086879,50,1,1,RNA,100,7.296329339272326,5.663911998866674,B2,TaqMan Fast Virus,40,0.5097517848567834,0.9049182534217834,-0.14941555546523
JG073N,27,FAM,-inf,False,B3,0.0,FAM,JG073N_027,UNKNOWN,,12.364902,52,2,1,RNA,100,7.296329339272326,5.278646039100947,B3,TaqMan Fast Virus,40,0.45386454378335855,0.7727556824684143,-0.2467095467874864
JG073N,28,FAM,-inf,False,B4,0.0,FAM,JG073N_028,UNKNOWN,,12.471697,54,3,1,RNA,100,7.296329339272326,4.89338007933522,B4,TaqMan Fast Virus,40,0.3761699816796455,0.6810773611068726,-0.4286272901503759
JG073N,29,FAM,-inf,False,B5,0.0,FAM,JG073N_029,UNKNOWN,,12.3497715,56,4,1,RNA,100,7.296329339272326,4.508114119569492,B5,TaqMan Fast Virus,40,0.3198912926913579,0.54268878698349,-0.5599328920183393
JG073N,30,FAM,-inf,False,B6,0.0,FAM,JG073N_030,UNKNOWN,,12.325085,58,5,1,RNA,100,7.296329339272326,4.122848159803764,B6,TaqMan Fast Virus,40,0.3165141936640136,0.5493793487548828,-0.5669859189826008
JG073N,31,FAM,-inf,False,B7,0.0,FAM,JG073N_031,UNKNOWN,,12.158281,60,6,1,RNA,100,7.296329339272326,3.7375822000380374,B7,TaqMan Fast Virus,40,0.2516407343834877,0.4387224614620209,-0.636719601650823
JG073N,32,FAM,-inf,False,B8,0.0,FAM,JG073N_032,UNKNOWN,,12.165942,62,7,1,RNA,100,7.296329339272326,,B8,TaqMan Fast Virus,40,0.2290913782948999,0.3904736340045929,-0.6759252046229397
JG073N,33,FAM,-inf,False,B9,0.0,FAM,JG073N_033,UNKNOWN,,17.09094,64,8,1,RNA,10,6.187664024928424,4.904823622694598,B9,TaqMan Fast Virus,40,0.22761525367048324,0.40042442083358765,-0.5801790782532368
JG073N,34,FAM,-inf,False,B10,0.0,FAM,JG073N_034,UNKNOWN,,17.333754,66,9,1,RNA,10,6.187664024928424,4.51955766292887,B10,TaqMan Fast Virus,40,0.18674385129926382,0.3322220742702484,-0.6592614371762306
JG073N,35,FAM,-inf,False,B11,0.0,FAM,JG073N_035,UNKNOWN,,17.817423,68,10,1,RNA,10,6.187664024928424,4.134291703163142,B11,TaqMan Fast Virus,40,0.13968049196746568,0.24465957283973694,-0.7403271570775314
JG073N,36,FAM,-inf,False,B12,0.0,FAM,JG073N_036,UNKNOWN,,18.035662,70,11,1,RNA,10,6.187664024928424,3.7490257433974143,B12,TaqMan Fast Virus,40,0.12551304705147395,0.21213719248771667,-0.7649309612763489
JG073N,37,FAM,-inf,False,B13,0.0,FAM,JG073N_037,UNKNOWN,,17.882332,72,12,1,RNA,10,6.187664024928424,3.3637597836316866,B13,TaqMan Fast Virus,40,0.1151408824765806,0.20201623439788818,-0.7783171903570969
JG073N,38,FAM,-inf,False,B14,0.0,FAM,JG073N_038,UNKNOWN,,79.1498,74,13,1,RNA,10,6.187664024928424,2.9784938238659593,B14,TaqMan Fast Virus,40,0.1259147358229276,0.036085523664951324,-0.7790351248439418
JG073N,39,FAM,-inf,False,B15,0.0,FAM,JG073N_039,UNKNOWN,,17.716753,76,14,1,RNA,10,6.187664024928424,2.593227864100233,B15,TaqMan Fast Virus,40,0.12396301497806785,0.21234749257564545,-0.799240948360197
JG073N,40,FAM,-inf,False,B16,0.0,FAM,JG073N_040,UNKNOWN,,17.817846,78,15,1,RNA,10,6.187664024928424,,B16,TaqMan Fast Virus,40,0.13480604954006983,0.221867173910141,-0.7863015683300834
JG073N,41,FAM,-inf,False,B17,0.0,FAM,JG073N_041,UNKNOWN,,20.481462,80,16,1,RNA,1,5.0789987105845205,3.760469286756793,B17,TaqMan Fast Virus,40,0.304896785685219,0.5460208058357239,-0.22875547843596783
JG073N,42,FAM,-inf,False,B18,0.0,FAM,JG073N_042,UNKNOWN,,21.078882,82,17,1,RNA,1,5.0789987105845205,3.3752033269910653,B18,TaqMan Fast Virus,40,0.2703998874441988,0.4760975241661072,-0.29608082881862235
JG073N,43,FAM,-inf,False,B19,0.0,FAM,JG073N_043,UNKNOWN,,73.48348,84,18,1,RNA,1,5.0789987105845205,2.989937367225337,B19,TaqMan Fast Virus,40,0.21907642826622517,0.07821117341518402,-0.3928113427618921
JG073N,44,FAM,-inf,False,B20,0.0,FAM,JG073N_044,UNKNOWN,,76.28133,86,19,1,RNA,1,5.0789987105845205,2.6046714074596102,B20,TaqMan Fast Virus,40,0.16465018869178624,0.06229211017489433,-0.4893017826573448
JG073N,45,FAM,-inf,False,B21,0.0,FAM,JG073N_045,UNKNOWN,,21.666288,88,20,1,RNA,1,5.0789987105845205,2.219405447693882,B21,TaqMan Fast Virus,40,0.11566036162981722,0.2030707448720932,-0.5801161906140656
JG073N,46,FAM,-inf,False,B22,0.0,FAM,JG073N_046,UNKNOWN,,21.605373,90,21,1,RNA,1,5.0789987105845205,1.8341394879281543,B22,TaqMan Fast Virus,40,0.13087339841436021,0.2282145917415619,-0.5577828032653536
JG073N,47,FAM,-inf,False,B23,0.0,FAM,JG073N_047,UNKNOWN,,21.691452,92,22,1,RNA,1,5.0789987105845205,1.448873528162427,B23,TaqMan Fast Virus,40,0.09242475317610836,0.15063190460205078,-0.6031767455454666
JG073N,48,FAM,-inf,False,B24,0.0,FAM,JG073N_048,UNKNOWN,,21.688309,94,23,1,RNA,1,5.0789987105845205,,B24,TaqMan Fast Virus,40,0.07389732310640222,0.13348104059696198,-0.6466375711155844
JG073N,49,FAM,-inf,False,C1,0.0,FAM,JG073N_049,UNKNOWN,,11.93776,96,0,2,RNA,100,6.557219129709725,6.049177958632402,C1,TaqMan Fast Virus,40,0.6482559703172508,1.1513714790344238,0.11006203142300719
JG073N,50,FAM,-inf,False,C2,0.0,FAM,JG073N_050,UNKNOWN,,11.72112,98,1,2,RNA,100,6.557219129709725,5.663911998866674,C2,TaqMan Fast Virus,40,0.6272732394462086,1.1279233694076538,0.0716635850705416
JG073N,51,FAM,-inf,False,C3,0.0,FAM,JG073N_051,UNKNOWN,,11.952082,100,2,2,RNA,100,6.557219129709725,5.278646039100947,C3,TaqMan Fast Virus,40,0.549364303035972,0.9779525995254517,-0.08028948125158142
JG073N,52,FAM,-inf,False,C4,0.0,FAM,JG073N_052,UNKNOWN,,11.808136,102,3,2,RNA,100,6.557219129709725,4.89338007933522,C4,TaqMan Fast Virus,40,0.5091984870608511,0.9228168725967407,-0.17060692736332284
JG073N,53,FAM,-inf,False,C5,0.0,FAM,JG073N_053,UNKNOWN,,11.948467,104,4,2,RNA,100,6.557219129709725,4.508114119569492,C5,TaqMan Fast Virus,40,0.45406407623898076,0.7996561527252197,-0.28756593698769156
JG073N,54,FAM,-inf,False,C6,0.0,FAM,JG073N_054,UNKNOWN,,12.009312,106,5,2,RNA,100,6.557219129709725,4.122848159803764,C6,TaqMan Fast Virus,40,0.44353707311526697,0.7615867853164673,-0.34111835198282475
JG073N,55,FAM,-inf,False,C7,0.0,FAM,JG073N_055,UNKNOWN,,11.799426,108,6,2,RNA,100,6.557219129709725,3.7375822000380374,C7,TaqMan Fast Virus,40,0.39587203676846927,0.7104375958442688,-0.4268476311629912
JG073N,56,FAM,-inf,False,C8,0.0,FAM,JG073N_056,UNKNOWN,,11.993195,110,7,2,RNA,100,6.557219129709725,,C8,TaqMan Fast Virus,40,0.38157370270063645,0.6530153155326843,-0.44275205434366044
JG073N,57,FAM,-inf,False,C9,0.0,FAM,JG073N_057,UNKNOWN,,16.481789,112,8,2,RNA,10,5.4485538153658215,4.904823622694598,C9,TaqMan Fast Virus,40,0.38719460050795185,0.696915864944458,-0.36594714278819707
JG073N,58,FAM,-inf,False,C10,0.0,FAM,JG073N_058,UNKNOWN,,16.946888,114,9,2,RNA,10,5.4485538153658215,4.51955766292887,C10,TaqMan Fast Virus,40,0.3184653334819257,0.5553999543190002,-0.4433165691198426
JG073N,59,FAM,-inf,False,C11,0.0,FAM,JG073N_059,UNKNOWN,,17.027098,116,10,2,RNA,10,5.4485538153658215,4.134291703163142,C11,TaqMan Fast Virus,40,0.27989236695475056,0.49403348565101624,-0.5119658770600315
JG073N,60,FAM,-inf,False,C12,0.0,FAM,JG073N_060,UNKNOWN,,17.15844,118,11,2,RNA,10,5.4485538153658215,3.7490257433974143,C12,TaqMan Fast Virus,40,0.2633843032276903,0.45313119888305664,-0.5420714306211474
JG073N,61,FAM,-inf,False,C13,0.0,FAM,JG073N_061,UNKNOWN,,17.054708,120,12,2,RNA,10,5.4485538153658215,3.3637597836316866,C13,TaqMan Fast Virus,40,0.2653093871693002,0.4636189937591553,-0.5401269660471438
JG073N,62,FAM,-inf,False,C14,0.0,FAM,JG073N_062,UNKNOWN,,16.90686,122,13,2,RNA,10,5.4485538153658215,2.9784938238659593,C14,TaqMan Fast Virus,40,0.2662004813034244,0.4756479859352112,-0.5393718595269199
JG073N,63,FAM,-inf,False,C15,0.0,FAM,JG073N_063,UNKNOWN,,17.178902,124,14,2,RNA,10,5.4485538153658215,2.593227864100233,C15,TaqMan Fast Virus,40,0.27022179139267954,0.4662311375141144,-0.5395890110910148
JG073N,64,FAM,-inf,False,C16,0.0,FAM,JG073N_064,UNKNOWN,,16.844412,126,15,2,RNA,10,5.4485538153658215,,C16,TaqMan Fast Virus,40,0.2886296941590558,0.517206072807312,-0.5323518812544048
JG073N,65,FAM,-inf,False,C17,0.0,FAM,JG073N_065,UNKNOWN,,20.24049,128,16,2,RNA,1,4.339888501021918,3.760469286756793,C17,TaqMan Fast Virus,40,0.40994767737362253,0.7265704274177551,-0.06542811655877828
JG073N,66,FAM,-inf,False,C18,0.0,FAM,JG073N_066,UNKNOWN,,20.461472,130,17,2,RNA,1,4.339888501021918,3.3752033269910653,C18,TaqMan Fast Virus,40,0.37954248792507433,0.6795530915260315,-0.12516359108895864
JG073N,67,FAM,-inf,False,C19,0.0,FAM,JG073N_067,UNKNOWN,,20.767593,132,18,2,RNA,1,4.339888501021918,2.989937367225337,C19,TaqMan Fast Virus,40,0.3013330784589164,0.5358097553253174,-0.2454928367484009
JG073N,68,FAM,-inf,False,C20,0.0,FAM,JG073N_068,UNKNOWN,,20.858156,134,19,2,RNA,1,4.339888501021918,2.6046714074596102,C20,TaqMan Fast Virus,40,0.26590402000247065,0.468411386013031,-0.3071726730328586
JG073N,69,FAM,-inf,False,C21,0.0,FAM,JG073N_069,UNKNOWN,,20.848804,136,20,2,RNA,1,4.339888501021918,2.219405447693882,C21,TaqMan Fast Virus,40,0.22317532290434036,0.390701562166214,-0.3938028549327345
JG073N,70,FAM,-inf,False,C22,0.0,FAM,JG073N_070,UNKNOWN,,20.767498,138,21,2,RNA,1,4.339888501021918,1.8341394879281543,C22,TaqMan Fast Virus,40,0.22300019152742356,0.39708054065704346,-0.3872175019822437
JG073N,71,FAM,-inf,False,C23,0.0,FAM,JG073N_071,UNKNOWN,,20.751654,140,22,2,RNA,1,4.339888501021918,1.448873528162427,C23,TaqMan Fast Virus,40,0.19111911150771688,0.3395903408527374,-0.4451465837382177
JG073N,72,FAM,-inf,False,C24,0.0,FAM,JG073N_072,UNKNOWN,,20.691818,142,23,2,RNA,1,4.339888501021918,,C24,TaqMan Fast Virus,40,0.19200818949886345,0.3393845558166504,-0.4536818495199444
JG073N,73,FAM,-inf,False,D1,0.0,FAM,JG073N_073,UNKNOWN,,11.939755,144,0,3,RNA,100,5.8181089201471226,6.049177958632402,D1,TaqMan Fast Virus,40,0.7560470179406812,1.3161550760269165,0.3179678390928835
JG073N,74,FAM,-inf,False,D2,0.0,FAM,JG073N_074,UNKNOWN,,11.886062,146,1,3,RNA,100,5.8181089201471226,5.663911998866674,D2,TaqMan Fast Virus,40,0.7061431266757148,1.2528862953186035,0.23209991281394898
JG073N,75,FAM,-inf,False,D3,0.0,FAM,JG073N_075,UNKNOWN,,11.939214,148,2,3,RNA,100,5.8181089201471226,5.278646039100947,D3,TaqMan Fast Virus,40,0.631875966571947,1.139290452003479,0.03281549067548528
JG073N,76,FAM,-inf,False,D4,0.0,FAM,JG073N_076,UNKNOWN,,11.96434,150,3,3,RNA,100,5.8181089201471226,4.89338007933522,D4,TaqMan Fast Virus,40,0.5920344683416905,1.0530827045440674,-0.0018293013149689452
JG073N,77,FAM,-inf,False,D5,0.0,FAM,JG073N_077,UNKNOWN,,11.952085,152,4,3,RNA,100,5.8181089201471226,4.508114119569492,D5,TaqMan Fast Virus,40,0.5294202389313797,0.9283711910247803,-0.12156830762879622
JG073N,78,FAM,-inf,False,D6,0.0,FAM,JG073N_078,UNKNOWN,,12.098393,154,5,3,RNA,100,5.8181089201471226,4.122848159803764,D6,TaqMan Fast Virus,40,0.5126056968345392,0.8828775882720947,-0.1557911345518027
JG073N,79,FAM,-inf,False,D7,0.0,FAM,JG073N_079,UNKNOWN,,11.988549,156,6,3,RNA,100,5.8181089201471226,3.7375822000380374,D7,TaqMan Fast Virus,40,0.4963246503961369,0.8652287125587463,-0.17728745194731382
JG073N,80,FAM,-inf,False,D8,0.0,FAM,JG073N_080,UNKNOWN,,11.840809,158,7,3,RNA,100,5.8181089201471226,,D8,TaqMan Fast Virus,40,0.49393230786812875,0.8850563168525696,-0.21265728092502528
JG073N,81,FAM,-inf,False,D9,0.0,FAM,JG073N_081,UNKNOWN,,16.608461,160,8,3,RNA,10,4.709443605803219,4.904823622694598,D9,TaqMan Fast Virus,40,0.506047717534082,0.8880202174186707,-0.11330801567420934
JG073N,82,FAM,-inf,False,D10,0.0,FAM,JG073N_082,UNKNOWN,,16.697983,162,9,3,RNA,10,4.709443605803219,4.51955766292887,D10,TaqMan Fast Virus,40,0.4538889181717802,0.8117519021034241,-0.23354150884146024
JG073N,83,FAM,-inf,False,D11,0.0,FAM,JG073N_083,UNKNOWN,,16.894547,164,10,3,RNA,10,4.709443605803219,4.134291703163142,D11,TaqMan Fast Virus,40,0.41208677632947377,0.7335215210914612,-0.27218970442382306
JG073N,84,FAM,-inf,False,D12,0.0,FAM,JG073N_084,UNKNOWN,,16.95732,166,11,3,RNA,10,4.709443605803219,3.7490257433974143,D12,TaqMan Fast Virus,40,0.39499917209819246,0.7025855183601379,-0.30171959517957114
JG073N,85,FAM,-inf,False,D13,0.0,FAM,JG073N_085,UNKNOWN,,16.971298,168,12,3,RNA,10,4.709443605803219,3.3637597836316866,D13,TaqMan Fast Virus,40,0.3869344071965086,0.682400107383728,-0.31011311028355815
JG073N,86,FAM,-inf,False,D14,0.0,FAM,JG073N_086,UNKNOWN,,17.01124,170,13,3,RNA,10,4.709443605803219,2.9784938238659593,D14,TaqMan Fast Virus,40,0.393084517898259,0.6882379651069641,-0.2978468841944392
JG073N,87,FAM,-inf,False,D15,0.0,FAM,JG073N_087,UNKNOWN,,17.040545,172,14,3,RNA,10,4.709443605803219,2.593227864100233,D15,TaqMan Fast Virus,40,0.3941013602249413,0.7015340328216553,-0.3326323693990562
JG073N,88,FAM,-inf,False,D16,0.0,FAM,JG073N_088,UNKNOWN,,16.860355,174,15,3,RNA,10,4.709443605803219,,D16,TaqMan Fast Virus,40,0.4193267539744312,0.7510985732078552,-0.27280526187078813
JG073N,89,FAM,-inf,False,D17,0.0,FAM,JG073N_089,UNKNOWN,,19.837027,176,16,3,RNA,1,3.6007782914593163,3.760469286756793,D17,TaqMan Fast Virus,40,0.5266119509141618,0.9437704086303711,0.15742348427233888
JG073N,90,FAM,-inf,False,D18,0.0,FAM,JG073N_090,UNKNOWN,,20.375254,178,17,3,RNA,1,3.6007782914593163,3.3752033269910653,D18,TaqMan Fast Virus,40,0.4885499103308092,0.8721034526824951,0.08885859061141466
JG073N,91,FAM,-inf,False,D19,0.0,FAM,JG073N_091,UNKNOWN,,20.61328,180,18,3,RNA,1,3.6007782914593163,2.989937367225337,D19,TaqMan Fast Virus,40,0.4188179981559929,0.7505848407745361,-0.023565980480255988
JG073N,92,FAM,-inf,False,D20,0.0,FAM,JG073N_092,UNKNOWN,,20.783772,182,19,3,RNA,1,3.6007782914593163,2.6046714074596102,D20,TaqMan Fast Virus,40,0.3863370724853763,0.6800877451896667,-0.07885905222949119
JG073N,93,FAM,-inf,False,D21,0.0,FAM,JG073N_093,UNKNOWN,,20.642986,184,20,3,RNA,1,3.6007782914593163,2.219405447693882,D21,TaqMan Fast Virus,40,0.31248722523458916,0.5615081787109375,-0.21469229708114146
JG073N,94,FAM,-inf,False,D22,0.0,FAM,JG073N_094,UNKNOWN,,20.641281,186,21,3,RNA,1,3.6007782914593163,1.8341394879281543,D22,TaqMan Fast Virus,40,0.3174082237293578,0.5701842904090881,-0.2152921509362012
